Date,Close,High,Low,Open,Volume
2024-12-18,4071.472412109375,4084.7228544504474,4016.9251617031996,4037.6204331342105,1575404
2024-12-19,4000.350341796875,4086.5959621440575,3991.0797412140178,4009.808411984614,3015763
2024-12-20,3905.20849609375,4103.451653679163,3888.5401624606857,4053.8206774936325,4116989
2024-12-23,3893.971435546875,3948.940267652302,3853.3303110561437,3933.0675361336625,2195338
2024-12-24,3913.824462890625,3949.8771586248727,3893.971886498204,3893.971886498204,1181886
2024-12-26,3904.085693359375,3932.974763441001,3879.7850567984137,3913.8245120496226,1208464
2024-12-27,3900.10546875,3915.1821407656116,3883.624146371002,3898.372975186565,858100
2024-12-30,3894.439697265625,3932.3652563563705,3850.6147896579423,3887.135698411994,1527169
2024-12-31,3834.508056640625,3876.7881676077986,3775.746852751546,3872.1526387464664,1555429
2025-01-01,3851.036376953125,3871.216337275171,3825.752442210114,3834.1334768483284,763161
2025-01-02,3910.312744140625,3917.1018879818557,3836.5219567358895,3858.106569085643,1720835
2025-01-03,3839.283935546875,3914.245717822352,3832.1671775259365,3914.245717822352,1791953
2025-01-06,3834.695556640625,3885.871560960142,3807.9134644789865,3844.52810934996,2085593
2025-01-07,3772.2353515625,3877.162777576041,3756.5500894487573,3853.3774566252837,2669054
2025-01-08,3847.24365234375,3863.724974901958,3762.3560392419636,3778.415783789389,2181277
2025-01-09,3782.114990234375,3874.728183134026,3769.4262690508385,3840.314247847898,2392472
2025-01-10,3994.498046875,4023.8553328042613,3904.92826106441,3933.021270136816,7894300
2025-01-13,4018.329833984375,4048.155332041931,3958.678837869263,3975.160158715583,4003771
2025-01-14,3963.97021484375,4039.6809656649875,3950.8601439567124,4028.537496859603,3441709
2025-01-15,3979.468017578125,3985.882678702443,3939.9974357665556,3949.8766266035373,1653474
2025-01-16,3938.920166015625,4021.0455693202,3925.3889758814885,3989.2068293675015,2637705
2025-01-17,3933.1982421875,3967.8165423249693,3910.071878467617,3967.148790924069,1761466
2025-01-20,3888.85302734375,3953.70197855909,3879.6025285384753,3953.70197855909,1287799
2025-01-21,3848.8466796875,3920.5144684100183,3843.2676496454324,3905.5419834373433,1971591
2025-01-22,3964.001708984375,3970.2480248109573,3856.8096861084223,3862.3409864324167,2409223
2025-01-23,3953.368408203125,3997.141512526167,3948.218247742152,3974.8733548946852,1822998
2025-01-24,3959.94921875,3984.410622138042,3913.839443095865,3913.839443095865,1910099
2025-01-27,3876.7890625,3963.7634492210204,3853.8058882600144,3911.9316916717908,1551782
2025-01-28,3853.0908203125,3911.9318748383976,3841.6468460321344,3882.1775882750967,2468272
2025-01-29,3909.83349609375,3917.5107746444246,3866.155848644477,3866.155848644477,1217089
2025-01-30,3910.07177734375,3938.5387545651533,3870.447205350259,3909.9288208062503,1531251
2025-01-31,3921.849609375,3937.1562032629076,3895.9577125678047,3919.5609078155994,1492943
2025-02-01,3884.41845703125,3944.260904282812,3868.0632040212854,3922.4220804091583,437172
2025-02-03,3880.126953125,3888.0901447868278,3813.4181682881867,3844.1261184510477,1265713
2025-02-04,3916.74755859375,3928.0010789730964,3877.6475473199966,3894.4796324423637,2547132
2025-02-05,3901.536865234375,3957.707610233867,3887.136438388733,3957.707610233867,1693912
2025-02-06,3893.57373046875,3947.6941907477535,3863.819444687176,3915.174138224137,2284536
2025-02-07,3842.69580078125,3900.4879649829604,3822.287472775478,3900.4879649829604,1548940
2025-02-10,3849.89599609375,3864.248693904035,3828.34331731039,3852.804719489709,1339511
2025-02-11,3779.89697265625,3852.8045770599656,3771.743094621823,3832.2053307443857,1810908
2025-02-12,3767.11767578125,3835.400146101803,3757.5810309224153,3787.097133023103,1678002
2025-02-13,3728.97119140625,3799.828511079361,3721.437334907012,3784.140776452309,2277310
2025-02-14,3752.526611328125,3765.067205571011,3719.29131249416,3743.132923471687,1681975
2025-02-17,3723.583251953125,3751.716356302624,3677.521207418633,3677.8073533505512,1799806
2025-02-18,3693.7333984375,3742.5609756413837,3685.4365636204366,3717.765697945917,2149879
2025-02-19,3608.76220703125,3695.402493868423,3593.551070815755,3692.7799162903398,4366672
2025-02-20,3604.279296875,3612.480904202741,3577.4814657672678,3587.2087965043847,2888572
2025-02-21,3610.573974609375,3640.1375755636514,3600.0836645933414,3601.1327887262482,1833931
2025-02-24,3505.289306640625,3588.8301766028944,3499.9486923438976,3569.7091569360205,2508516
2025-02-25,3461.372802734375,3488.5045093924064,3453.457341344246,3457.033582981813,4101954
2025-02-27,3445.16064453125,3469.4313588459286,3433.8596273751255,3444.349936596485,3823856
2025-02-28,3321.851806640625,3433.192134904543,3296.8181139902795,3418.83943788603,7085018
2025-03-03,3331.19775390625,3359.9983745974937,3315.08068451919,3323.520708287026,4990439
2025-03-04,3368.390869140625,3386.462765522496,3303.780096861225,3313.03059628982,2797737
2025-03-05,3382.69580078125,3433.526166541638,3357.7098367858857,3357.7098367858857,2501894
2025-03-06,3434.718017578125,3442.204143903758,3372.2529953515404,3392.184489465064,2786513
2025-03-07,3443.873291015625,3457.033908045006,3408.778389880028,3433.1922948860747,2051315
2025-03-10,3423.32177734375,3454.2683775177134,3416.5986286887846,3439.391117760303,1004626
2025-03-11,3409.636962890625,3422.4637047132396,3373.7313523521616,3393.1385193645992,1995450
2025-03-12,3343.738525390625,3403.8671205164956,3325.2852564493496,3399.8140462677893,3174167
2025-03-13,3348.36376953125,3360.999824081682,3322.662557973568,3340.019205205493,1693004
2025-03-17,3335.63232421875,3366.86483705381,3316.225391054831,3327.3354895121856,2690906
2025-03-18,3335.63232421875,3335.63232421875,3335.63232421875,3335.63232421875,0
2025-03-19,3335.060302734375,3382.6480693895237,3302.301833176931,3382.6480693895237,3051244
2025-03-20,3398.049560546875,3413.117506170413,3349.269714639503,3349.269714639503,2845192
2025-03-21,3412.307373046875,3448.6895841353426,3304.447814456678,3313.984460385846,4161925
2025-03-24,3460.800537109375,3480.636804108051,3401.339698729423,3433.1919980242437,1834751
2025-03-25,3488.26611328125,3538.095080383689,3469.4312405487494,3476.106891643813,3135390
2025-03-26,3467.333251953125,3509.9620062788417,3457.8443372465335,3478.7294955586594,1734499
2025-03-27,3482.019775390625,3493.2730630548403,3443.2056768112207,3447.354210516991,2528474
2025-03-28,3439.05712890625,3491.3179898494645,3425.467409839091,3481.829074680501,2051919
2025-04-01,3386.27197265625,3417.933587672838,3361.667381848982,3407.1571321951615,2618493
2025-04-02,3379.7392578125,3398.955737182192,3366.4834143953553,3379.7869876031436,1764313
2025-04-03,3245.462890625,3339.7327091413904,3238.787239864295,3329.2424008031394,4537821
2025-04-04,3146.520751953125,3242.1256239661316,3142.80155330537,3206.7925383276747,5317367
2025-04-07,3122.345458984375,3138.891399190129,2914.446587584341,2956.3600978903933,6623955
2025-04-08,3140.36962890625,3193.8225734236476,3104.46425178094,3149.0480694302546,5557558
2025-04-09,3096.167236328125,3118.4828923346345,3063.2180815269526,3109.4708094407843,2990265
